Reference area,FREQ,Frequency of observation,Measure,TIME_PERIOD,PM_PWM,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,Time period,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
Indonesia,A,Annual,Population exposure to PM2.5,2000,23.76,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2005,22.11,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2010,22.59,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2011,19.19,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2012,20.35,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2013,20.3,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2014,19.15,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2015,20.18,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2016,21.45,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2017,18.86,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2018,19.41,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposure to PM2.5,2019,19.67,M3,Cubic metres,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
